,Group,Player,Time,Order,Round,Date,Role,Round.num,Phase,Condition,First,Message,f,p,v,Before.After,playerA.wordcount,playerB.wordcount,playerA.numutterances,playerB.numutterances,playerA.wordsperutterance,playerB.wordsperutterance,Adjacency_pairs,Gender,Age,Education,ProlificPenn
9328,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:54:05,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,efo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9329,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:54:05,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,blufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9330,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:43:10,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,wuwofs,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9331,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:40:14,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,wefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9332,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:40:14,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,rufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9333,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:40:14,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9334,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:10:14,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,rufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9335,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:10:42,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,nefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9336,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:40:48,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9337,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:42:04,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,efo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9338,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:42:04,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9339,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:13:19,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9340,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:56:48,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9341,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:04:32,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,wefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9342,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:04:32,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,blufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9343,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:54:05,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9344,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:43:10,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,efo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9345,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:43:10,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,blufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9346,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:43:10,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,wuwofs,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9347,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:43:31,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9348,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:44:05,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,nefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9349,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:13:19,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,wefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9350,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:13:19,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9351,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:13:19,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,rufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9352,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,9:55:06,B,Round2,4/3/2019,guesser,2,1,unmatched,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9353,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,10:44:30,B,Round13,4/3/2019,guesser,13,2,samespecies,unmatched,nuf,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
